Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.18,Harper Voyager,Hardcover,544,2022,2022,,2024/01/10,to-read,to-read (#175),to-read,,,,0,0
46265792,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""""","=""""",4,4.28,William Morrow Paperbacks,Kindle Edition,258,2009,1939,2024/01/09,2023/03/04,,,read,,,,1,0
7377311,Magic: The Gathering Pocket Players Guide,Wizards of the Coast,"Coast, Wizards of the",,"=""1880992299""","=""9781880992296""",0,3.81,Harpercollins,Paperback,242,1996,1996,1994/07/15,2024/01/06,,,read,,,,3,1
33839035,"Precipice (Awaken Online, #2)",Travis Bagwell,"Bagwell, Travis",,"=""""","=""""",4,4.43,,Kindle Edition,594,2017,2017,2023/12/22,2023/12/11,,,read,,,,1,0
44791083,Return to the Little Kingdom: How Apple and Steve Jobs Changed the World,Michael Moritz,"Moritz, Michael",,"=""""","=""""",3,3.99,ABRAMS Press,Kindle Edition,423,2009,2009,2024/01/05,2023/12/22,,,read,,,,1,0
50542147,Invisible Girl,Lisa Jewell,"Jewell, Lisa",,"=""1982137339""","=""9781982137335""",0,3.81,Atria Books,Hardcover,404,2020,2020,,2024/01/01,to-read,to-read (#174),to-read,,,,0,0
62967013,Yellowface,R.F. Kuang,"Kuang, R.F.",Helen Laser,"=""""","=""9780063250864""",3,3.78,HarperAudio,Audiobook,9,2023,2023,2023/12/15,2023/07/05,,,read,,,,1,0
19073499,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""""","=""""",4,4.54,Vintage,Kindle Edition,130,2013,1963,2023/12/11,2023/02/01,,,read,,,,1,0
65215014,Being Henry: The Fonz . . . and Beyond,Henry Winkler,"Winkler, Henry",James Kaplan,"=""1250888093""","=""9781250888099""",0,4.15,Celadon Books,Hardcover,246,2023,2023,,2023/12/09,to-read,to-read (#173),to-read,,,,0,0
65916344,Holly,Stephen King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.12,Scribner,Hardcover,449,2023,2023,,2023/12/09,to-read,to-read (#172),to-read,,,,0,0
63133205,The Woman in Me,Britney Spears,"Spears, Britney",,"=""1668009048""","=""9781668009048""",0,3.87,Gallery Books,Hardcover,288,2023,2023,,2023/12/09,to-read,to-read (#171),to-read,,,,0,0
60596112,"Keeper of Enchanted Rooms (Whimbrel House, #1)",Charlie N. Holmberg,"Holmberg, Charlie N.",,"=""1662500335""","=""9781662500336""",3,4.18,47North,Kindle Edition,347,2022,2022,2023/12/08,2023/11/28,,,read,,,,1,0
36531052,"Hope Never Dies (Obama Biden Mysteries, #1)",Andrew Shaffer,"Shaffer, Andrew",,"=""1683690400""","=""""",3,3.51,Quirk Books,Kindle Edition,304,2018,2018,2023/11/28,2023/11/26,,,read,,,,1,0
34816536,Generation Decks: The Unofficial History of Gaming Phenomenon Magic: The Gathering,Titus Chalk,"Chalk, Titus",,"=""1786180677""","=""9781786180674""",3,3.89,Solaris,Kindle Edition,290,2017,,2023/11/26,2023/11/23,,,read,,,,1,0
34039808,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.62,Tor Books,Kindle Edition,1220,2017,2017,2023/11/21,2023/10/17,,,read,,,,1,0
43879812,"Poirot's Early Cases (Hercule Poirot, #43)",Agatha Christie,"Christie, Agatha",,"=""8832510057""","=""9788832510058""",3,3.94,Blackmore Dennett,Kindle Edition,259,2019,1974,2023/11/23,2023/11/21,,,read,,,,1,0
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",0,4.27,Crown,Hardcover,284,2023,2023,,2023/12/08,to-read,to-read (#170),to-read,,,,0,0
9862744,Thud!,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0060888539""","=""9780060888534""",5,4.35,HarperAudio,Audiobook,,2005,2005,2023/12/02,2023/11/09,,,read,,,,1,0
42390721,"Hope Rides Again (Obama Biden Mysteries, #2)",Andrew Shaffer,"Shaffer, Andrew",,"=""1683691237""","=""""",0,3.62,Quirk Books,Kindle Edition,288,2019,2019,,2023/11/28,to-read,to-read (#169),to-read,,,,0,0
24737268,Badass: Making Users Awesome,Kathy Sierra,"Sierra, Kathy",,"=""1491919019""","=""9781491919019""",0,4.18,O'Reilly Media,Paperback,293,2015,2015,,2023/11/08,to-read,to-read (#168),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",4,4.18,Grove Press,Hardcover,128,2021,2021,2023/11/07,2023/11/01,,,read,,,,1,0
58210933,Trust,Hernan Diaz,"Diaz, Hernan",,"=""0593420314""","=""9780593420317""",0,3.83,Riverhead Books,Hardcover,402,2022,2022,,2023/11/03,to-read,to-read (#167),to-read,,,,0,0
18760140,"Raising Steam (Discworld, #40)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.01,Random House Audiobooks,Audiobook,,2013,2013,2023/11/01,2023/10/12,,,read,,,,1,0
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250166543""","=""9781250166548""",0,4.20,Tor Books,Hardcover,272,2017,2016,,2023/10/18,to-read,to-read (#166),to-read,,,,0,0
